iter	RMSE
0	3676.079253
1	3349.470124
2	3058.998787
3	2798.131804
4	2568.607147
5	2358.31229
6	2171.712918
7	2010.062323
8	1861.448898
9	1733.082112
10	1617.699788
11	1512.098292
12	1418.255863
13	1339.11271
14	1268.803865
15	1206.225534
16	1153.850887
17	1107.69809
18	1061.558881
19	1022.344501
20	985.9622304
21	955.5518277
22	928.4297443
23	904.3511114
24	883.5070447
25	861.1434137
26	843.4054964
27	828.2570848
28	814.5834459
29	802.3206877
30	788.7929325
31	779.6704161
32	770.0014605
33	762.2632897
34	754.609922
35	747.1275231
36	741.7618763
37	734.7115652
38	729.2360473
39	724.2989287
40	719.9021945
41	716.4783646
42	713.3156889
43	710.0939485
44	706.5131193
45	703.8910049
46	699.7858992
47	695.7422976
48	693.5043408
49	691.1995488
50	687.8466047
51	685.3036995
52	682.5095005
53	680.7423573
54	678.4086151
55	676.0014711
56	674.3732505
57	672.5778831
58	670.8814814
59	669.81853
60	668.0541003
61	666.4202954
62	665.37946
63	664.3607811
64	663.8586044
65	662.7691746
66	661.8043523
67	660.7247283
68	659.8997085
69	658.9208777
70	658.1742662
71	656.4622986
72	655.4301727
73	654.1849773
74	652.7688687
75	651.4854542
76	650.5663788
77	650.0476084
78	648.700692
79	647.7694952
80	647.0472255
81	646.4878102
82	645.6125213
83	644.8129281
84	644.1130534
85	643.4077497
86	642.9541804
87	642.6448125
88	641.4567904
89	641.1839495
90	640.587959
91	640.2802975
92	639.7197437
93	639.2453882
94	638.8722668
95	638.4922819
96	638.0556469
97	637.5454797
98	636.9364823
99	636.0447259
