iter	Passed	Remaining
0	235	23332
1	270	13248
2	314	10175
3	406	9757
4	836	15885
5	949	14873
6	1029	13681
7	1101	12668
8	1163	11767
9	1213	10923
10	1252	10134
11	1297	9515
12	1394	9333
13	1462	8986
14	1534	8694
15	1627	8544
16	1698	8292
17	1779	8107
18	1840	7845
19	1944	7778
20	2065	7771
21	2209	7834
22	2322	7776
23	2448	7754
24	2582	7748
25	2698	7679
26	2817	7617
27	2933	7544
28	3055	7481
29	3129	7301
30	3198	7119
31	3263	6935
32	3375	6853
33	3493	6780
34	3624	6731
35	3740	6650
36	3865	6582
37	3934	6419
38	4008	6269
39	4077	6115
40	4181	6016
41	4313	5956
42	4477	5935
43	4563	5808
44	4648	5681
45	4764	5593
46	4862	5483
47	4948	5360
48	5010	5214
49	5062	5062
50	5128	4927
51	5190	4791
52	5238	4645
53	5308	4521
54	5354	4381
55	5395	4239
56	5447	4109
57	5498	3981
58	5544	3852
59	5590	3726
60	5630	3599
61	5680	3481
62	5726	3363
63	5767	3244
64	5801	3123
65	5846	3011
66	5907	2909
67	5960	2805
68	6126	2752
69	6255	2681
70	6296	2571
71	6328	2460
72	6359	2352
73	6391	2245
74	6424	2141
75	6457	2039
76	6489	1938
77	6516	1838
78	6550	1741
79	6581	1645
80	6621	1553
81	6655	1460
82	6699	1372
83	6732	1282
84	6760	1193
85	6790	1105
86	6822	1019
87	6852	934
88	6883	850
89	6910	767
90	6946	686
91	6977	606
92	7005	527
93	7037	449
94	7068	372
95	7102	295
96	7128	220
97	7155	146
98	7186	72
99	7220	0
